set I:=
1
2
3
4
5
6
7
8
9
10
;

set J:=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19	
20	
21	
22	
23	
24	
25	
;	

param f:=	
1	700
2	700
3	700
4	700
5	700
6	700
7	700
8	700
9	700
10	700
;	

param d:=	
1	43
2	36
3	16
4	13
5	12
6	39
7	12
8	37
9	34
10	22
11	29
12	13
13	15
14	47
15	41
16	16
17	25
18	32
19	36
20	45
21	23
22	40
23	42
24	16
25	42
;		

param h:=		
1	1	143
2	1	160
3	1	67
4	1	50
5	1	141
6	1	39
7	1	101
8	1	109
9	1	187
10	1	142
1	2	135
2	2	156
3	2	70
4	2	45
5	2	134
6	2	46
7	2	94
8	2	109
9	2	186
10	2	140
1	3	182
2	3	156
3	3	24
4	3	109
5	3	163
6	3	23
7	3	133
8	3	83
9	3	163
10	3	123
1	4	153
2	4	217
3	4	140
4	4	40
5	4	176
6	4	105
7	4	133
8	4	180
9	4	254
10	4	208
1	5	86
2	5	52
3	5	108
4	5	125
5	5	40
6	5	131
7	5	45
8	5	75
9	5	106
10	5	66
1	6	73
2	6	122
3	6	105
4	6	58
5	6	79
6	6	102
7	6	35
8	6	110
9	6	169
10	6	124
1	7	45
2	7	91
3	7	173
4	7	149
5	7	28
6	7	187
7	7	60
8	7	143
9	7	155
10	7	127
1	8	175
2	8	156
3	8	28
4	8	99
5	8	158
6	8	15
7	8	126
8	8	86
9	8	166
10	8	125
1	9	132
2	9	35
3	9	98
4	9	156
5	9	80
6	9	134
7	9	89
8	9	45
9	9	62
10	9	20
1	10	154
2	10	99
3	10	34
4	10	124
5	10	119
6	10	73
7	10	102
8	10	26
9	10	107
10	10	65
1	11	69
2	11	154
3	11	136
4	11	49
5	11	99
6	11	125
7	11	59
8	11	147
9	11	205
10	11	161
1	12	114
2	12	90
3	12	60
4	12	96
5	12	86
6	12	80
7	12	62
8	12	53
9	12	121
10	12	74
1	13	160
2	13	132
3	13	15
4	13	100
5	13	137
6	13	36
7	13	109
8	13	63
9	13	144
10	13	102
1	14	184
2	14	114
3	14	41
4	14	151
5	14	147
6	14	84
7	14	133
8	14	34
9	14	104
10	14	72
1	15	113
2	15	74
3	15	68
4	15	109
5	15	78
6	15	94
7	15	62
8	15	46
9	15	107
10	15	61
1	16	108
2	16	72
3	16	72
4	16	109
5	16	73
6	16	97
7	16	58
8	16	50
9	16	108
10	16	62
1	17	45
2	17	86
3	17	164
4	17	143
5	17	20
6	17	179
7	17	53
8	17	135
9	17	149
10	17	120
1	18	149
2	18	72
3	18	63
4	18	143
5	18	105
6	18	103
7	18	99
8	18	9
9	18	79
10	18	35
1	19	122
2	19	10
3	19	123
4	19	167
5	19	66
6	19	156
7	19	88
8	19	71
9	19	65
10	19	39
1	20	135
2	20	194
3	20	123
4	20	18
5	20	155
6	20	91
7	20	111
8	20	159
9	20	232
10	20	186
1	21	160
2	21	82
3	21	58
4	21	147
5	21	117
6	21	99
7	21	110
8	21	2
9	21	81
10	21	42
1	22	111
2	22	40
3	22	97
4	22	138
5	22	63
6	22	127
7	22	68
8	22	53
9	22	82
10	22	41
1	23	167
2	23	115
3	23	21
4	23	126
5	23	135
6	23	64
7	23	115
8	23	38
9	23	117
10	23	78
1	24	159
2	24	39
3	24	119
4	24	188
5	24	104
6	24	159
7	24	121
8	24	60
9	24	29
10	24	20
1	25	159
2	25	188
3	25	90
4	25	48
5	25	165
6	25	51
7	25	122
8	25	137
9	25	216
10	25	170
;		

param c:=		
1	1	347.4220495
2	1	331.3500937
3	1	142.6099815
4	1	118.1069928
5	1	289.1426819
6	1	86.64456005
